t_index term df
1361 anchorman 3
1362 ancient 4
1363 andean 6
1364 anderson 4
1365 andi 5
1366 andjelkov 1
1367 andoslavia 1
1368 andr 48
1369 andrea 14
1370 andrei 2
1371 andrew 15
1372 andrik 1
1373 anew 7
1374 angel 13
1375 anger 46
1376 angl 12
1377 anglican 1
1378 angri 27
1379 angrili 4
1380 anguish 8
1381 anim 2
1382 animist 2
1383 animos 11
1384 anjai 1
1385 anjana 1
1386 anjar 6
1387 ank 2
1388 ankl 8
1389 ankledeep 1
1390 ann 11
1391 anna 21
1392 annabel 1
1393 annacon 1
1394 annan 13
1395 anniversari 15
1396 annoi 1
1397 announc 164
1398 annoy 1
1399 annual 18
1400 annul 11
1401 anomali 1
1402 anonym 63
1403 answer 48
1404 antagon 1
1405 antasiaovich 1
1406 antenna 2
1407 anthem 6
1408 anthoni 27
1409 anthropologist 2
1410 anti 1
1411 antiaircraft 2
1412 antiamerican 16
1413 antiballist 2
1414 antibiot 5
1415 antibush 1
1416 anticastro 1
1417 anticip 17
1418 anticlimact 1
1419 anticommunist 2
1420 anticorrupt 2
1421 antidiarrhea 1
1422 antifbi 2
1423 antiislam 3
1424 antiisrael 2
1425 antimilitari 1
1426 antimilosev 20
1427 antimissil 1
1428 antinorthern 1
1429 antiradar 1
1430 antiship 2
1431 antisoviet 1
1432 antisubmarin 1
1433 antiterror 6
1434 antiterrorist 8
1435 antiu 9
1436 antiwar 8
1437 antiwestern 5
1438 antonia 6
1439 antonin 1
1440 antonio 26
1441 anwar 4
1442 anxieti 3
1443 anxiou 11
1444 anxious 2
1445 anybodi 14
1446 anymor 9
1447 anytim 4
1448 aok 1
1449 aon 1
1450 ap 21
1451 apart 68
1452 apec 4
1453 apex 1
1454 apolit 1
1455 apolog 18
1456 appal 1
1457 appallingli 1
1458 appar 193
1459 apparatu 7
1460 appeal 95
1461 appear 196
1462 appel 1
1463 appetit 2
1464 appl 3
1465 applaud 10
1466 applaus 8
1467 applepick 1
1468 appleton 2
1469 appli 18
1470 applic 16
1471 appoint 65
1472 appointe 3
1473 apprais 2
1474 appreci 16
1475 apprehend 4
1476 apprehens 2
1477 apprentic 3
1478 appris 1
1479 approach 49
1480 appropri 18
1481 approv 25
1482 approxim 12
1483 april 67
1484 aprista 4
1485 apron 1
1486 aquil 2
1487 ar 2
1488 ar15 1
1489 arab 61
1490 arabamerican 2
1491 arabi 1
1492 arabia 71
1493 arabian 44
1494 arabianborn 1
1495 arablanguag 3
1496 arablook 1
1497 arabspeak 1
1498 arafat 16
1499 arantxa 3
1500 arazi 7
1501 arbadi 1
1502 arbit 1
1503 arbitrari 2
1504 arbitrarili 1
1505 arc 1
1506 arch 2
1507 archaeolog 2
1508 archbishop 4
1509 archer 1
1510 archeri 4
1511 archetyp 1
1512 archi 5
1513 archibald 1
1514 architect 7
1515 architectur 4
1516 arctic 6
1517 ardent 4
1518 arduou 1
1519 area 184
1520 arena 22
1521 arent 16
1522 argentin 1
1523 argentina 10
1524 argu 45
1525 arguabl 2
1526 argument 18
1527 ari 1
1528 arid 5
1529 arif 1
1530 arisen 1
1531 arithmet 1
1532 aritomi 4
1533 ariz 6
1534 arizona 7
1535 ark 8
1536 arkadelphia 1
1537 arkan 1
1538 arkansa 28
1539 arkansasbas 1
1540 arkin 2
1541 arleigh 2
1542 arleighburkeclass 1
1543 arlen 2
1544 arlington 8
1545 arm 132
1546 armament 2
1547 armbrist 1
1548 armei 1
1549 armenia 2
1550 armi 136
1551 armitag 1
1552 armor 17
1553 armori 3
1554 arn 3
1555 arnaud 17
1556 arni 1
1557 arno 1
1558 arnold 3
1559 arnot 1
1560 aros 5
1561 arous 1
1562 arrai 5
1563 arraign 2
1564 arrang 38
1565 arrear 1
1566 arrest 109
1567 arriv 180
1568 arrog 3
1569 arrow 4
1570 arsen 10
1571 arseni 1
1572 arsonist 1
1573 art 8
1574 artfulli 1
1575 arthriti 1
1576 arthur 4
1577 articl 5
1578 articul 1
1579 artifact 1
1580 artifici 4
1581 artist 4
1582 artudo 1
1583 arturo 6
1584 aruba 2
1585 aryapov 1
1586 asa 1
1587 asahi 1
1588 ascend 1
1589 ascrib 4
1590 asean 1
1591 ash 4
1592 asham 1
1593 ashcroft 56
1594 ashkroft 1
1595 ashok 1
1596 ashor 2
1597 ashraf 1
1598 ashshaab 1
1599 ashtrai 1
1600 asia 22
1601 asian 15
1602 asiapacif 16
1603 asid 30
1604 ask 196
1605 aspect 11
1606 aspir 2
1607 assad 1
1608 assail 4
1609 assam 6
1610 assassin 21
1611 assault 28
1612 assembl 18
1613 assemblyforexport 1
1614 assert 17
1615 assess 48
1616 asset 10
1617 assign 24
1618 assist 76
1619 assistedsuicid 1
1620 associ 117
1621 associateturnedinform 3
1622 assort 1
1623 assum 38
1624 assumpt 7
1625 assur 35
1626 assuredli 2
1627 astakhov 12
1628 asterisk 2
1629 astonish 7
1630 astound 2
1631 astronom 1
1632 astut 1
1633 asylum 29
1634 asymmetr 2
1635 atal 13
1636 atck 2
1637 atf 2
1638 atfein 1
1639 ath 1
1640 athal 1
1641 athlet 3
1642 atlant 15
1643 atlanta 6
1644 atmat 1
1645 atmospher 10
1646 atom 4
1647 atop 13
1648 atp 3
1649 atroc 10
1650 atrophi 1
1651 atsea 3
1652 attach 15
1653 attack 306
1654 attain 1
1655 attempt 112
1656 attend 68
1657 attent 64
1658 attest 2
1659 attitud 10
1660 attornei 58
1661 attract 15
1662 attribut 12
1663 attrit 1
1664 atwan 1
1665 aubrei 19
1666 aubri 5
1667 audienc 16
1668 audio 4
1669 audiotap 1
1670 auditor 5
1671 auditorium 1
1672 aug 33
1673 augment 1
1674 august 32
1675 aunt 2
1676 aur 5
1677 aura 1
1678 aurora 4
1679 ausi 1
1680 aussi 9
1681 auster 2
1682 austin 18
1683 australia 23
1684 australian 72
1685 austria 3
1686 austrian 1
1687 austrohungarian 1
1688 authent 2
1689 author 255
1690 authoritarian 27
1691 auto 1
1692 autocrat 27
1693 autograph 1
1694 autom 1
1695 automat 18
1696 automobil 4
1697 autonom 1
1698 autonomi 3
1699 autopilot 1
1700 autopsi 1
1701 autumn 2
1702 av 1
1703 avail 44
1704 avala 1
1705 avalanch 1
1706 aveng 7
1707 avent 1
1708 avenu 4
1709 averag 14
1710 avert 6
1711 aviat 3
1712 aviv 4
1713 avner 2
1714 avoid 59
1715 avow 1
1716 aw 11
1717 awad 2
1718 awai 166
1719 await 26
1720 awaken 2
1721 awar 18
1722 award 9
1723 aweigh 1
1724 awestruck 1
1725 awfulli 2
1726 awkward 4
1727 awn 4
1728 awok 1
1729 ax 1
1730 axam 1
1731 ay 2
1732 ayatollah 1
1733 aykroyd 1
1734 ayman 5
1735 aynaoui 1
1736 ayr 1
1737 ayyam 1
